time    Ha  Ha_err
60098.18613755377 0.190516669112868 0.0001142420098777
60100.25807760114 0.190448880140561 8.79429042066088e-05
60101.25956408375 0.190080747947597 0.000129703396674
60103.121650861525 0.190498182319843 8.92459465977328e-05
60105.18818113053 0.190590150918126 0.000107249295663
60106.17607807025 0.190346974408502 9.51808302676202e-05
60115.22883742283 0.19114357211572 9.53884864062165e-05
60119.16987662253 0.190481680423169 0.0001329534616984
60120.19123835066 0.190746353309239 0.0001148306429927
60121.1729980726 0.190569526129608 0.0001100595139374
60123.161230867074 0.19056771338802 0.0001034430438017
60125.1921564339 0.190838533894768 0.0001165363397682
60126.18589992967 0.190784409721956 9.37050602348265e-05
60127.21009100535 0.191089762764619 7.64338083784219e-05
60128.1728442574 0.191109319674514 0.0001005824782676
60129.18895338538 0.191115357151164 0.0001209496052892
60130.18341908677 0.190837855077351 0.0001131962474105
60133.16900745299 0.190825262319255 0.0001119753201879
60137.18593115192 0.19128566961194 0.0001236779570219
60138.168973045365 0.191083945176929 8.96637845924755e-05
60139.2388667162 0.191337914093062 0.0001017489580537
60141.21824833038 0.191178705170765 0.0001121400046241
60142.145510976574 0.191193573600698 0.0001378675331992
60147.28517442278 0.191094552567649 8.94159177227043e-05
60149.22446192735 0.19076733067873 0.0001052650276375
60150.19495650258 0.190747186709986 0.0001287610178943
60151.11148396042 0.190814378354379 0.0001269482483346
60155.151603326536 0.190801826437739 9.62138763186766e-05
60156.30872230478 0.191013181906359 9.77026924717693e-05
60157.22218435481 0.191094259700212 0.0001040452010541
60158.241966836926 0.190841953873 0.0001061817087938
60159.185937103786 0.190872855688212 0.000100185024394
60160.22022751153 0.191044140057903 0.0001010775869152
60161.19754727555 0.190862572475237 0.0001448239109817
60162.21465701373 0.190985917188808 0.0001368410428753
60163.25124067752 0.190651500424904 8.93137562038476e-05
60164.07865358299 0.190637198670514 6.13239573255257e-05
