time    RV  RV_err
60098.18613755377 -2.7307889575669 0.760927679676307
60100.25807760114 -1.18512695336667 0.856942258107343
60101.25956408375 0.872382948865449 0.68810865448941
60103.121650861525 3.25523374117834 0.793981112788608
60105.18818113053 3.67694082592208 0.785758302566004
60106.17607807025 3.12520462691139 0.814987002868054
60115.22883742283 3.90832937335521 0.605679811515333
60119.16987662253 2.03883498374296 0.955029667861453
60120.19123835066 1.7796193083593 0.945081045900876
60121.1729980726 0.124185822260474 0.782311163487866
60123.161230867074 -0.372238289046937 0.751011757217428
60125.1921564339 -2.52577498754695 0.790948261777479
60126.18589992967 -3.60671439760506 0.962772350909293
60127.21009100535 -3.12583240176501 1.15710258958881
60128.1728442574 -2.91669379899471 0.804016016962227
60129.18895338538 -1.89474898226464 0.855281223724304
60130.18341908677 -0.417136846654934 0.818805790635626
60133.16900745299 -0.589075657634248 0.715832818047754
60137.18593115192 -1.9142366051001 1.10538591411503
60138.168973045365 -2.26793212071588 0.745957359586891
60139.2388667162 -1.77913317361118 0.605469219135866
60141.21824833038 -0.380721159667771 0.689448591627982
60142.145510976574 1.88842303414102 0.815677390660113
60147.28517442278 0.695089543546406 0.565453943471143
60149.22446192735 1.43619011512802 0.60019827870002
60150.19495650258 1.05692933480112 0.718138905548671
60151.11148396042 -1.29535588559363 0.661642791702896
60155.151603326536 0.528543333198671 0.687861640966962
60156.30872230478 0.94869885000461 0.700280407178017
60157.22218435481 0.986381891168581 0.783537430160323
60158.241966836926 2.15875682026858 0.835536030716502
60159.185937103786 1.25683690037606 0.798866585238677
60160.22022751153 0.873024860230824 0.823159201213444
60161.19754727555 0.291706806321269 0.74512351369094
60162.21465701373 -0.02492577097166 0.711894644672218
60163.25124067752 -0.62321113147544 0.98693084902973
60164.07865358299 -1.87710566251221 1.17905340868067
