time    CaHK  CaHK_err
60098.18613755377 0.132295850119982 0.000394723511594
60100.25807760114 0.133022584947542 0.000486456141428
60101.25956408375 0.133749923460079 0.0004723630820682
60103.121650861525 0.136047461257601 0.0005297104986152
60105.18818113053 0.135948572757521 0.0005281459805859
60106.17607807025 0.135466176998608 0.0005767651321012
60115.22883742283 0.134343576433038 0.0005186420672744
60119.16987662253 0.135524955746527 0.0004660091723073
60120.19123835066 0.13496192901925 0.0005599853021997
60121.1729980726 0.13373291035677 0.0004834979793015
60123.161230867074 0.131922077731323 0.0004222180695275
60125.1921564339 0.131323763183421 0.0004796773279409
60126.18589992967 0.13131867373632 0.000491608481415
60127.21009100535 0.132021848900818 0.0003627558521938
60128.1728442574 0.132781901871667 0.0005612714591832
60129.18895338538 0.13318973828991 0.0005267286271981
60130.18341908677 0.132953038275887 0.0005745571189001
60133.16900745299 0.133097650189931 0.0005776353166043
60137.18593115192 0.133310539815193 0.0006035354190877
60138.168973045365 0.13281877697296 0.000523475428736
60139.2388667162 0.132899604123912 0.0004222926230806
60141.21824833038 0.133317418497656 0.0004730952374399
60142.145510976574 0.133768433500025 0.0005361893255647
60147.28517442278 0.134875025007113 0.0003071660218834
60149.22446192735 0.134889650249024 0.0004127789535745
60150.19495650258 0.134240637347342 0.0005188621197557
60151.11148396042 0.133620912833536 0.0006343376206142
60155.151603326536 0.134300265609837 0.0004861873170365
60156.30872230478 0.134236925508164 0.0004419580858214
60157.22218435481 0.135040659728342 0.0004738675343067
60158.241966836926 0.134663514617857 0.0004389724159523
60159.185937103786 0.134667394051771 0.0005498389542048
60160.22022751153 0.134855398640383 0.0005204895623636
60161.19754727555 0.13464752515207 0.0004878129858595
60162.21465701373 0.134571659590955 0.0005254979192864
60163.25124067752 0.134333292820567 0.0004432390459822
60164.07865358299 0.133823261214053 0.0004557096596279
