time    RV    RV_err
57821.588266164   -3.4379800	  0.0134300
57821.592931296   -3.4620200	  0.0133700
57821.598741460   -3.4451900	  0.0121000
57821.603116583   -3.4523600	  0.0114800
57821.819737482   -3.4560300	  0.0092500
57821.823741587   -3.4535700	  0.0081800
57821.828151702   -3.4635700	  0.0084600
57821.832596818   -3.4699500	  0.0087500
57821.836925930   -3.4770600	  0.0084500
57821.841578051   -3.4407600	  0.0097400
57821.845618156   -3.4578100	  0.0096300
57821.850236276   -3.4563700	  0.0105800
57821.854565388   -3.4732700	  0.0091300
57821.859009503   -3.4758900	  0.0091600
57821.863396616   -3.4430800	  0.0147000
57821.867760729   -3.4726100	  0.0091200
57821.872297845   -3.4445800	  0.0091400
57821.876626956   -3.4799000	  0.0088700
57821.881152073   -3.4544800	  0.0092200
57821.885493184   -3.4504600	  0.0098400
57821.889903297   -3.4661700	  0.0096500
57821.894312410   -3.4772900	  0.0099200
57821.898641520   -3.4788800	  0.0099700
57821.903097634   -3.4736400	  0.0105900
57821.907843755   -3.4563200	  0.0117700
57821.911570849   -3.4533700	  0.0233000
57821.916767982   -3.4570600	  0.0132700
57842.539004922   -3.4609800	  0.0120900
57842.546238868   -3.4521800	  0.0107800
57842.553402813   -3.4709800	  0.0101900
57842.560705757   -3.4670800	  0.0104700
57842.568078700   -3.4702300	  0.0096400
57842.575254644   -3.4645000	  0.0103100
57842.582684586   -3.4854700	  0.0093300
57842.589710531   -3.4572700	  0.0104700
57842.597291471   -3.4702600	  0.0078900
57842.604247415   -3.4649600	  0.0089800
57842.611561356   -3.4717400	  0.0086200
57842.618853297   -3.4690100	  0.0091800
57842.626156237   -3.4685500	  0.0092400
57842.633459176   -3.4674800	  0.0080500
57842.641307111   -3.4700300	  0.0078600
57842.648401051   -3.4870800	  0.0076700
57842.655854987   -3.4645800	  0.0072100
57842.662937927   -3.4616500	  0.0071600
57842.879299841   -3.3916500	  0.0335800


