time          RV      RV_err
7045.70173	  7.1893    0.0148
7049.75170	  7.2181    0.0156
7051.70510	  7.1728    0.0147
7053.73321	  7.1927    0.0149
7054.73211	  7.1820    0.0096
7065.66244    7.2207    0.0105
7392.75475	  7.1791    0.0167
7394.74622	  7.1772    0.0163
7395.67480    7.1938    0.0140
7398.72585	  7.2113    0.0130
