time	BKG
4128.734269481152	132612.87618080253
4128.734964220319	130443.15183917018
4128.735658959486	130254.1951429963
4128.736353698652	129564.91112679681
4128.737048437353	129216.89051467154
4128.73774317652	130725.45868985588
4128.738437904511	129464.5458209535
4128.739132643212	127414.39086186662
4128.739827382378	126050.26080510397
4128.740522121079	125802.16036860045
4128.741216860712	125470.87815553715
4128.741911587771	125478.81818035137
4128.742606326938	125242.44800478956
4128.743301065639	125693.75675411538
4128.743995805271	128671.36070804624
4128.744690543972	125982.5357908713
4128.745385271497	125625.80182924052
4128.746080010664	125535.99861232436
4128.74677474983	125724.97564060107
4128.747469488997	126009.51917571232
4128.748164227698	125650.78928444904
4128.748858955223	125616.26950195765
4128.749553706031	125691.33453196948
4128.750248444732	125860.61236014178
4128.750943183899	125865.28173412573
4128.751637923066	125734.39024808057
4128.752332650591	125609.53637104874
4128.753027389292	125150.56133524873
4128.753722128458	125556.57967484875
4128.754416867625	126314.32436358422
4128.756501073483	125903.89607024705
4128.757195812184	125907.22153958086
4128.757890551351	125814.26954466736
4128.758585290052	126384.20512400875
4128.759280018043	126183.56161299098
4128.759974756744	126036.08253529956
4128.76066949591	126725.7695763775
4128.761364234611	127430.52626522726
4128.762058974244	131505.12333333376
4128.762753701303	129312.82248288204
4128.76344844047	130238.89997463842
4128.764143191278	129525.90272544637
4128.764837930445	129581.04295228315
4128.765532669146	129660.92672377056
4128.766227396671	130784.66888787728
4128.766922135837	132469.49860653048
4128.767616874538	135512.6775153127
4128.768311613705	141652.26418994623
4128.769006352872	159650.79246011272
4128.769701079931	185534.2265209434
4128.770395819098	172890.73878559752
4128.771090558264	167035.4250320756
4128.771785296965	192270.7443381858
4128.772480036598	242476.4557451161
4128.775258981157	1173011.930252044
4128.776648447383	1726817.5486858515
4128.77734318655	2059029.076227843
4128.7780379257165	2334348.969673492
4128.796101105399	760191.7744725622
4128.7967958441	595726.2747298128
4128.7974905716255	382535.87637950736
4128.7981853103265	261467.81603468646
4128.798880049493	228534.61197027972
4128.79957478866	169390.5264577856
4128.800269527361	152632.26141818316
4128.800964254886	145567.1644004779
4128.801658994518	139087.6482884647
4128.8023537327535	134331.47288694605
4128.803048472386	133404.20965134812
4128.803743210621	131961.89709437624
4128.804437938612	131801.7478595638
4128.805132677313	130676.75791618653
4128.80582741648	129015.45286293841
4128.806522155181	131886.3083573291
4128.807216894813	127819.30200882495
4128.8086063726805	126015.11973305212
4128.8093011113815	125900.87267473665
4128.809995850548	125439.56860893278
4128.810690589715	125808.86362391053
4128.811385316774	125955.89978286688
4128.812080055941	125917.15062149345
4128.812774794642	125827.52726706094
4128.8134695338085	125776.52496247197
4128.814164272975	125633.47242758362
4128.814859000035	125678.41369324943
4128.815553739201	126049.56546201938
4128.816248477902	125553.02791735347
4128.816943217069	125671.84792637377
4128.817637956236	125577.67263158044
4128.818332683761	125479.11434512776
4128.819027422462	125620.17664819091
4128.819722161628	125579.8624826266
4128.820416900795	125495.52286181312
4128.82111162832	125609.89845115476
4128.821806367021	125594.79226812877
4128.822501106188	125568.1345371371
4128.82319585653	125524.95635017511
4128.823890595697	125560.87774717914
4128.824585322756	125801.19535100854
4128.825280061923	126048.16491610499
4128.82597480109	126205.82353689987
4128.826669539791	126283.30376753006
4128.827364278957	127204.36737512829
4128.828059006017	126763.9086162388
4128.828753745183	127265.60206355368
4128.829448483884	126961.94644420639
4128.830143223517	127769.34949000349
4128.830837962218	127910.60859263504
4128.831532689743	129022.01287863599
4128.832227428909	128785.0178591745
4128.83292216761	128238.40244038343
4128.833616906777	128722.66945058027
4128.834311645478	129489.1682549768
4128.835006373003	130700.37664738015
4128.835701111704	133203.38531603492
4128.836395850871	136235.79475356784
4128.83778534038	169302.55251006264
4128.838480067905	191877.40253099895
4128.839174806606	203164.93185668866
4128.839869545773	201462.65666246577
4128.842648490332	542139.273049193
4128.843343228567	811155.4750968122
4128.8440379682	1189230.08856158
4128.844732706435	1657013.864566459
4128.845427434426	1987555.7214827514
4128.846122172661	2258714.517944468
4128.864880078472	1325675.8359659882
4128.865574805997	979303.7498038368
4128.866269544698	303303.51385160943
4128.866964283865	213301.69037136924
4128.8676590342075	166278.49841072818
4128.868353773374	146987.88920725684
4128.869048500434	137863.30832464906
4128.8697432396	136894.009012398
4128.870437978301	136870.7938780047
4128.871132717468	133693.1213016842
4128.871827456169	133917.83778278035
4128.872522183694	131462.7201078994
4128.873216922395	129969.82058055098
4128.873911661096	129980.68491200206
4128.874606400263	130638.34870892813
4128.875301138964	127100.9041882275
4128.875995866954	126250.76455786552
4128.87669060519	125852.9663344941
4128.877385344822	130183.31913752866
4128.878080083523	125644.87640570043
4128.87877482269	125610.11208849322
4128.879469549749	125583.74145544296
4128.880164288916	125973.97630935778
4128.880859027617	125872.17280644362
4128.881553766783	126228.40455002963
4128.882248517126	126139.79323589127
4128.882943244185	125607.31763129125
4128.883637983352	125771.08797620202
4128.884332722053	125668.50627003006
4128.88502746122	125651.8733876455
4128.885722188279	125908.28354906858
4128.886416927446	126073.63937815168
4128.887111666147	125858.63897544684
4128.887806405779	125809.12614490702
4128.888501144014	125695.31130688873
4128.889195883181	125665.83638835247
4128.88989061024	125567.33890178127
4128.890585349407	125567.45525454103
4128.891280088108	125656.94942052284
4128.891974827275	125949.46686912369
4128.8926695548	126043.96366041785
4128.893364293501	126206.26051713873
4128.894059032202	126552.82259926836
4128.894753771368	126811.29035128775
4128.895448510069	126697.29806194284
4128.8961432375945	127071.78883526356
4128.8968379762955	127272.47628206105
4128.897532727104	127002.774112187
4128.898227465805	128239.47886686408
4128.898922204506	129827.07451027636
4128.899616932031	129917.78846756811
4128.900311670732	128404.47045406175
4128.901006409898	128235.4575720921
4128.901701148599	128931.79439663637
4128.9023958873	129653.00720895553
4128.903090615291	131493.0570600731
4128.9037853535265	134606.26830173135
4128.904480093159	143024.6853437346
4128.905174831394	177146.1755102782
4128.905869570561	217665.27727201322
4128.90656429762	214281.80215522187
4128.907953775488	181302.49504890945
4128.910732719582	355742.15257762594
4128.911427458748	458404.3759141305
4128.912122208625	653092.5686499495
4128.912816947792	951307.9853078467
4128.932964317501	887692.2549228822
4128.93365904456	625294.1163856895
4128.934353783727	421544.93212198047
4128.935048522428	266114.98377318383
4128.935743261594	170838.51400802768
4128.936438000295	152324.94057455414
4128.93713272782	147965.50201859974
4128.937827466521	145108.3060829259
4128.938522205688	137536.12381718244
4128.939216944389	134042.45325608482
4128.93991168309	132317.45614887634
4128.940606410615	130678.97447769385
4128.941301160958	130666.0193526267
4128.941995899659	130284.71078004685
4128.942690638825	129007.24088267438
4128.943385377526	127477.41170626292
4128.944080104586	126885.0233203602
4128.944774843752	126591.46022114041
4128.945469582453	125924.79992923533
4128.946164321154	125886.816171374
4128.946859060321	125775.59706922121
4128.9475537873805	126014.23138961504
4128.948248526547	126046.40682110103
4128.948943265248	125832.07930265176
4128.949638004415	125943.69824735372
4128.95033274265	126060.2308831959
4128.951027470175	126223.80243137311
4128.951722208876	126171.9695422088
4128.952416948043	125948.34434074508
4128.953111686278	125854.7137878199
4128.953806414269	126084.39997162545
4128.95450115297	126351.29428375428
4128.955195891671	126231.73202566145
4128.9558906308375	125900.37489628851
4128.95658538118	125547.7115254527
4128.9572801082395	125649.33909196142
4128.9579748469405	125425.53752893826
4128.958669586107	125769.07031180733
4128.959364324808	125561.47178921825
4128.960059063509	125610.2558051435
4128.960753791034	125967.88311550653
4128.961448529735	125777.2198293834
4128.962143268436	126222.36653392673
4128.962838007137	126576.37901155843
4128.963532746304	126804.7217514893
4128.964227473363	127172.37381099918
4128.96492221253	127349.52786325765
4128.965616951231	127112.60416009242
4128.966311690398	127074.75465922506
4128.967006428633	127226.15280499558
4128.967701156158	128521.3578663177
4128.968395894859	130307.9489139165
4128.969090634026	131419.80322535255
4128.969785372261	134581.7812473256
4128.970480111428	138993.19101783735
4128.971174850129	143421.23545971984
4128.971869589295	150595.44119933835
4128.972564327996	185161.2652781819
4128.973259066697	201096.45325744402
4128.973953805864	197621.25557106352
4128.974648532923	191982.15881071135
4128.975343271624	185241.94003619702
4128.976038010325	185735.0595434386
4128.978122215252	214522.84810635552
4128.978816954419	275408.94534198917
4128.97951169312	406372.41070233117
4128.980206432287	638160.969557757
4128.98090115888	879652.2561937206
4128.981595898047	1239655.8617235497
4128.982290636748	1710632.6786645362
4128.982985375915	2000092.759209823
4129.000353799667	502842.3358663339
4129.001048550475	451107.785515065
4129.001743277535	531255.8200782726
4129.002438016236	522699.30003081576
4129.003132754937	430851.58987665805
4129.003827493638	293747.8966755953
4129.004522221629	217290.22861317574
4129.005216959864	174946.77882898276
