time	CY
4128.734269481152	553.5707397460938
4128.734964220319	553.1744384765625
4128.735658959486	553.56103515625
4128.736353698652	553.1861572265625
4128.737048437353	553.7097778320312
4128.73774317652	553.4375
4128.738437904511	553.29443359375
4128.739132643212	553.5032348632812
4128.739827382378	553.509765625
4128.740522121079	553.5325317382812
4128.741216860712	553.393310546875
4128.741911587771	553.38427734375
4128.742606326938	553.4307861328125
4128.743301065639	553.3836059570312
4128.743995805271	554.1697998046875
4128.744690543972	554.0254516601562
4128.745385271497	554.0770263671875
4128.746080010664	553.9922485351562
4128.74677474983	554.18017578125
4128.747469488997	554.2549438476562
4128.748164227698	553.9526977539062
4128.748858955223	553.8637084960938
4128.749553706031	554.2557983398438
4128.750248444732	554.086181640625
4128.750943183899	553.902587890625
4128.751637923066	553.75537109375
4128.752332650591	554.0025024414062
4128.753027389292	554.3191528320312
4128.753722128458	553.9900512695312
4128.754416867625	554.1290283203125
4128.756501073483	553.7937622070312
4128.757195812184	553.6715698242188
4128.757890551351	553.4068603515625
4128.758585290052	553.5723876953125
4128.759280018043	554.093505859375
4128.759974756744	554.075927734375
4128.76066949591	554.1615600585938
4128.761364234611	553.7627563476562
4128.762058974244	554.0849609375
4128.762753701303	553.839111328125
4128.76344844047	553.8052368164062
4128.764143191278	553.3408813476562
4128.764837930445	553.54443359375
4128.765532669146	553.5977783203125
4128.766227396671	553.5256958007812
4128.766922135837	553.5850219726562
4128.767616874538	553.9252319335938
4128.768311613705	553.5219116210938
4128.769006352872	553.492919921875
4128.769701079931	553.5224609375
4128.770395819098	553.8739013671875
4128.771090558264	553.6264038085938
4128.771785296965	553.9802856445312
4128.772480036598	554.2715454101562
4128.775258981157	553.62353515625
4128.776648447383	552.9916381835938
4128.77734318655	553.3449096679688
4128.7780379257165	553.0855712890625
4128.796101105399	553.2388305664062
4128.7967958441	553.0787353515625
4128.7974905716255	553.3082885742188
4128.7981853103265	553.9349365234375
4128.798880049493	553.8544311523438
4128.79957478866	553.5264892578125
4128.800269527361	553.3878784179688
4128.800964254886	553.35400390625
4128.801658994518	553.13037109375
4128.8023537327535	553.483642578125
4128.803048472386	552.8125610351562
4128.803743210621	553.2974853515625
4128.804437938612	553.0966186523438
4128.805132677313	553.056884765625
4128.80582741648	553.2122192382812
4128.806522155181	552.8712768554688
4128.807216894813	553.0175170898438
4128.8086063726805	553.1781005859375
4128.8093011113815	553.2689819335938
4128.809995850548	553.0526733398438
4128.810690589715	553.2815551757812
4128.811385316774	553.1500244140625
4128.812080055941	553.6135864257812
4128.812774794642	553.8453979492188
4128.8134695338085	553.8094482421875
4128.814164272975	553.6836547851562
4128.814859000035	553.7550659179688
4128.815553739201	553.970703125
4128.816248477902	553.8817138671875
4128.816943217069	553.8933715820312
4128.817637956236	553.868408203125
4128.818332683761	553.9920043945312
4128.819027422462	553.7464599609375
4128.819722161628	553.7410278320312
4128.820416900795	553.8310546875
4128.82111162832	553.8377075195312
4128.821806367021	554.0084838867188
4128.822501106188	553.931396484375
4128.82319585653	554.0767211914062
4128.823890595697	553.898193359375
4128.824585322756	553.6221923828125
4128.825280061923	553.6487426757812
4128.82597480109	553.2852783203125
4128.826669539791	553.352783203125
4128.827364278957	553.77685546875
4128.828059006017	553.6810302734375
4128.828753745183	554.2340698242188
4128.829448483884	553.919677734375
4128.830143223517	553.9376831054688
4128.830837962218	553.6565551757812
4128.831532689743	553.6641235351562
4128.832227428909	553.2384643554688
4128.83292216761	553.4824829101562
4128.833616906777	553.23486328125
4128.834311645478	553.580810546875
4128.835006373003	553.2953491210938
