time	ROLL
4128.734269481152	4.028813436345217
4128.734964220319	0.9207779344128539
4128.735658959486	357.81667723132296
4128.736353698652	354.70934194164033
4128.737048437353	351.5915800304085
4128.73774317652	348.4566261034133
4128.738437904511	345.2972756237639
4128.739132643212	342.1067331053757
4128.739827382378	338.8777513100222
4128.740522121079	335.604562423101
4128.741216860712	332.28016795635426
4128.741911587771	328.89912806214807
4128.742606326938	325.4551959245025
4128.743301065639	321.9440576696743
4128.743995805271	318.36106895067246
4128.744690543972	314.7031048200902
4128.745385271497	310.9675772540968
4128.746080010664	307.1538244794135
4128.74677474983	303.26184806169954
4128.747469488997	299.2938742377755
4128.748164227698	295.253465180547
4128.748858955223	291.1466317742627
4128.749553706031	286.9801840031564
4128.750248444732	282.7636846885355
4128.750943183899	278.50746611067393
4128.751637923066	274.2239566366611
4128.752332650591	269.92610293013377
4128.753027389292	265.62689392935863
4128.753722128458	261.34014402689854
4128.754416867625	257.07907722203504
4128.756501073483	244.56424730245976
4128.757195812184	240.51340851113582
4128.757890551351	236.53441364490004
4128.758585290052	232.63130304576657
4128.759280018043	228.80645224082173
4128.759974756744	225.0604678739951
4128.76066949591	221.3926887028092
4128.761364234611	217.8007842631107
4128.762058974244	214.2820042563037
4128.762753701303	210.83202887164407
4128.76344844047	207.44598859568623
4128.764143191278	204.11835529629775
4128.764837930445	200.84361785329816
4128.765532669146	197.61497920109673
4128.766227396671	194.42658896901548
4128.766922135837	191.27100493437797
4128.767616874538	188.14199836125294
4128.768311613705	185.03215014793204
4128.769006352872	181.9348112314401
4128.769701079931	178.84253622037204
4128.770395819098	175.7485675522937
4128.771090558264	172.6457719489781
4128.771785296965	169.5269832367535
4128.772480036598	166.38539609788313
4128.775258981157	153.45170633317593
4128.776648447383	146.67382254143445
4128.77734318655	143.18673787290209
4128.7780379257165	139.6279650540871
4128.796101105399	35.113031608534584
4128.7967958441	31.628138355163173
4128.7974905716255	28.209622814936665
4128.7981853103265	24.851989593733833
4128.798880049493	21.549628203524207
4128.79957478866	18.296143285578182
4128.800269527361	15.08488005087429
4128.800964254886	11.909287182193339
4128.801658994518	8.762513881608811
4128.8023537327535	5.637234033916002
4128.803048472386	2.52675397433768
4128.803743210621	359.4238665414766
4128.804437938612	356.321281082837
4128.805132677313	353.21204275658556
4128.80582741648	350.0889035532384
4128.806522155181	346.94510546682363
4128.807216894813	343.77321438099284
4128.8086063726805	337.31895806517673
4128.8093011113815	334.02330009442016
4128.809995850548	330.67336207869016
4128.810690589715	327.2634514783499
4128.811385316774	323.7886404124315
4128.812080055941	320.2437764504666
4128.812774794642	316.62512403181154
4128.8134695338085	312.9296031992658
4128.814164272975	309.1556199087313
4128.814859000035	305.30312872708737
4128.815553739201	301.37270703158276
4128.816248477902	297.3676247903579
4128.816943217069	293.2922378178655
4128.817637956236	289.1532894479932
4128.818332683761	284.95884198146825
4128.819027422462	280.7190807948797
4128.819722161628	276.445112274649
4128.820416900795	272.14995737203037
4128.82111162832	267.8467544356055
4128.821806367021	263.54878246628675
4128.822501106188	259.2700563577192
4128.82319585653	255.02289639849027
4128.823890595697	250.81919687041818
4128.824585322756	246.66948077750953
4128.825280061923	242.58200441248823
4128.82597480109	238.56406231583935
4128.826669539791	234.6203048085432
4128.827364278957	230.75444626171952
4128.828059006017	226.9674884580552
4128.828753745183	223.25972416417733
4128.829448483884	219.62928609747826
4128.830143223517	216.07409355689288
4128.830837962218	212.5898438623418
4128.831532689743	209.1729684028354
4128.832227428909	205.81724367006927
4128.83292216761	202.5176120835988
4128.833616906777	199.26758590510474
4128.834311645478	196.06133427121688
4128.835006373003	192.8916269179348
4128.835701111704	189.75190681153924
4128.836395850871	186.6350549818369
4128.83778534038	180.44244287397896
4128.838480067905	177.35267786498343
4128.839174806606	174.25747746044192
4128.839869545773	171.1499428941088
4128.842648490332	158.45577575390337
4128.843343228567	155.18210589524995
4128.8440379682	151.85517671812852
4128.844732706435	148.46896152564034
4128.845427434426	145.0181009905965
4128.846122172661	141.49734747437617
4128.864880078472	33.40318141345142
4128.865574805997	29.952141293502223
4128.866269544698	26.565295600136096
4128.866964283865	23.23694800208625
4128.8676590342075	19.960645976716023
4128.868353773374	16.730440752250388
4128.869048500434	13.539426181900467
4128.8697432396	10.380755906339573
4128.870437978301	7.247509425381168
4128.871132717468	4.132426797921312
4128.871827456169	1.028721891604846
4128.872522183694	357.9291232978312
4128.873216922395	354.8263178904791
4128.873911661096	351.71348927332826
4128.874606400263	348.58315921297265
4128.875301138964	345.42874377854355
4128.875995866954	342.24305676945085
4128.87669060519	339.0189073916207
4128.877385344822	335.75047497612957
4128.878080083523	332.430720497508
4128.87877482269	329.05381767382926
4128.879469549749	325.61391615364437
4128.880164288916	322.1063814315038
4128.880859027617	318.526461456908
4128.881553766783	314.8710279511839
4128.882248517126	311.13740104905844
4128.882943244185	307.3247801159995
4128.883637983352	303.4333485752775
