time	DARK
4128.734269481152	77391.84882053023
4128.734964220319	77985.31899283199
4128.735658959486	77394.39929139806
4128.736353698652	77923.90562096366
4128.737048437353	77442.58973066264
4128.73774317652	77493.10674548778
4128.738437904511	77732.60782397122
4128.739132643212	77406.22129242783
4128.739827382378	77621.65476001753
4128.740522121079	77391.18642460482
4128.741216860712	77760.5853664774
4128.741911587771	77624.12844653582
4128.742606326938	77607.28557853581
4128.743301065639	77574.6684062973
4128.743995805271	77209.85251005989
4128.744690543972	77149.11151215821
4128.745385271497	77244.49572650858
4128.746080010664	77224.64297590322
4128.74677474983	76988.4863683877
4128.747469488997	76900.18307638336
4128.748164227698	77027.70307978228
4128.748858955223	77106.52873609279
4128.749553706031	76916.82475899345
4128.750248444732	76968.87283787619
4128.750943183899	77187.4501548839
4128.751637923066	77401.51316314816
4128.752332650591	77417.36761009265
4128.753027389292	76890.46983287862
4128.753722128458	77023.02764372376
4128.754416867625	77294.31416458223
4128.756501073483	77155.24591746338
4128.757195812184	77253.20976954354
4128.757890551351	77535.40039372642
4128.758585290052	77425.69795028816
4128.759280018043	77345.5298595577
4128.759974756744	77072.28234156314
4128.76066949591	76957.5507266561
4128.761364234611	77187.57861527937
4128.762058974244	76988.19702344736
4128.762753701303	77115.36691346084
4128.76344844047	77145.19790113498
4128.764143191278	77619.7052664012
4128.764837930445	77403.65950546332
4128.765532669146	77354.18761319976
4128.766227396671	77483.7006969002
4128.766922135837	77334.75059410947
4128.767616874538	77070.04114982141
4128.768311613705	77384.93535606566
4128.769006352872	77490.46886452707
4128.769701079931	77505.90519440305
4128.770395819098	77135.61969759878
4128.771090558264	77296.36539299772
4128.771785296965	77040.5961412451
4128.772480036598	76905.51216191369
4128.775258981157	77318.973834801
4128.776648447383	78783.39702008993
4128.77734318655	78038.39168040176
4128.7780379257165	78685.27312225603
4128.796101105399	77878.34768929755
4128.7967958441	78118.17501447855
4128.7974905716255	77924.65341797251
4128.7981853103265	77069.07888695048
4128.798880049493	77146.61167249258
4128.79957478866	77445.47881095148
4128.800269527361	77556.37488594477
4128.800964254886	77885.63541939529
4128.801658994518	78174.59892930693
4128.8023537327535	77435.35602555277
4128.803048472386	78389.45684270676
4128.803743210621	77685.31458251753
4128.804437938612	78058.75258705326
4128.805132677313	78125.6561466599
4128.80582741648	77819.78545583852
4128.806522155181	78544.04124885018
4128.807216894813	78204.16963190094
4128.8086063726805	78354.88949387081
4128.8093011113815	78000.3927332345
4128.809995850548	78565.9189946348
4128.810690589715	77934.78476269195
4128.811385316774	78074.53285788684
4128.812080055941	77322.60949969638
4128.812774794642	77126.00868017817
4128.8134695338085	77235.62359678798
4128.814164272975	77275.72273497676
4128.814859000035	77186.98836129843
4128.815553739201	77045.1155001637
4128.816248477902	77071.0252772932
4128.816943217069	77082.98252507971
4128.817637956236	77135.48741951548
4128.818332683761	77011.99398009766
4128.819027422462	77217.71434575369
4128.819722161628	77389.07350004368
4128.820416900795	77368.52487019711
4128.82111162832	77121.3107197658
4128.821806367021	77021.0676749841
4128.822501106188	77088.86911320926
4128.82319585653	77270.52410518566
4128.823890595697	77447.61576876369
4128.824585322756	77342.27815468374
4128.825280061923	77453.94866809995
4128.82597480109	77713.86386359484
4128.826669539791	77614.53889963552
4128.827364278957	77271.78254113202
4128.828059006017	77304.47484647778
4128.828753745183	76918.62721204615
4128.829448483884	77041.44208755599
4128.830143223517	77045.48949694238
4128.830837962218	77380.48891565272
4128.831532689743	77365.56812901032
4128.832227428909	77769.44810943434
4128.83292216761	77557.97830935978
4128.833616906777	77793.40884741409
4128.834311645478	77330.27656185371
4128.835006373003	77711.94505622349
4128.835701111704	77353.78537955886
4128.836395850871	77335.05142613534
4128.83778534038	77631.17573631562
4128.838480067905	77155.41813698167
4128.839174806606	77449.66292819535
4128.839869545773	77316.04843872786
4128.842648490332	77220.58459328383
4128.843343228567	77531.57948993231
4128.8440379682	77384.34711356717
4128.844732706435	78102.45955877034
4128.845427434426	78444.8933554934
4128.846122172661	77900.85609921196
4128.864880078472	78302.99613975946
4128.865574805997	77811.59762832805
4128.866269544698	78691.35083183534
4128.866964283865	77076.83805990274
4128.8676590342075	77856.84245881312
4128.868353773374	77628.64798867803
4128.869048500434	77979.15340900149
4128.8697432396	78054.10764761516
4128.870437978301	78144.84773006865
4128.871132717468	77817.03496922372
4128.871827456169	78251.92097234869
4128.872522183694	77883.95107060562
4128.873216922395	78598.16437633614
4128.873911661096	77845.17441779707
4128.874606400263	78575.49873961115
4128.875301138964	78401.92349890161
4128.875995866954	78206.73696481981
4128.87669060519	78463.28516025553
4128.877385344822	78131.66378418975
4128.878080083523	78605.04038135923
4128.87877482269	78106.17059473506
4128.879469549749	78194.62794878258
4128.880164288916	78129.07764229219
4128.880859027617	77245.10239658342
4128.881553766783	77297.99426362556
4128.882248517126	77228.56868229693
4128.882943244185	77297.87470056367
4128.883637983352	77137.00697083364
4128.884332722053	77012.6123648953
4128.88502746122	77516.70000387321
4128.885722188279	77397.86233839596
4128.886416927446	76988.4147993468
4128.887111666147	77098.5322077757
4128.887806405779	77219.4352434444
4128.888501144014	77386.34039547826
4128.889195883181	77305.33067920586
4128.88989061024	76989.42170567249
4128.890585349407	77427.17645602452
4128.891280088108	77219.3088889787
4128.891974827275	77247.30868072007
4128.8926695548	77380.69135023397
4128.893364293501	77580.2429693075
4128.894059032202	77591.10249923168
4128.894753771368	77833.75863051634
4128.895448510069	77588.56344128508
4128.8961432375945	77347.76345254609
4128.8968379762955	77009.32125073831
4128.897532727104	76979.49470337576
4128.898227465805	77471.97368297265
4128.898922204506	77321.3834612463
4128.899616932031	77640.16119589997
4128.900311670732	77547.00169411374
4128.901006409898	78188.15426504206
4128.901701148599	77790.40100540842
4128.9023958873	77689.92009527172
4128.903090615291	77965.59781123858
4128.9037853535265	77659.39624038742
4128.904480093159	77261.17758024998
4128.905174831394	77459.59131358244
4128.905869570561	77623.15323262922
4128.90656429762	77796.79693546708
4128.907953775488	77587.61651719823
4128.910732719582	77058.13434684029
4128.911427458748	77285.87118412225
4128.912122208625	77555.94807543977
4128.912816947792	77730.88844330831
4128.932964317501	78179.18726788403
4128.93365904456	78819.66674893555
4128.934353783727	78610.93468338766
4128.935048522428	77567.46733069507
4128.935743261594	77280.86460337188
4128.936438000295	77976.00064108236
4128.93713272782	77983.95437775912
4128.937827466521	78064.97457177956
4128.938522205688	78703.21493569513
4128.939216944389	77528.37764072302
4128.93991168309	78494.33540812045
4128.940606410615	78405.26921044952
4128.941301160958	78530.67774924544
4128.941995899659	78716.03005654748
4128.942690638825	78344.19743966934
4128.943385377526	78857.60020468221
4128.944080104586	78581.93281530366
4128.944774843752	78150.80869980116
4128.945469582453	78713.46700562017
4128.946164321154	78149.47871209419
4128.946859060321	78666.59677540636
4128.9475537873805	78434.68809386194
4128.948248526547	78797.13572236238
4128.948943265248	77880.92681508962
4128.949638004415	77261.86818304991
4128.95033274265	77321.07325703061
4128.951027470175	77489.37536301532
4128.951722208876	77406.82497379562
4128.952416948043	77252.36841102892
4128.953111686278	77237.36605640793
4128.953806414269	77091.49996384562
4128.95450115297	77372.89215992886
4128.955195891671	77036.94616542943
4128.9558906308375	77448.85822275298
4128.95658538118	77369.0761551044
4128.9572801082395	77417.23292555542
4128.9579748469405	77325.4206836297
4128.958669586107	77328.20202118327
4128.959364324808	77365.0480188658
4128.960059063509	77175.8438817108
4128.960753791034	77359.80171900356
4128.961448529735	77494.60452145679
4128.962143268436	77837.21539512865
4128.962838007137	77927.06783911792
4128.963532746304	77751.77103575217
4128.964227473363	77278.33986181306
4128.96492221253	77255.03349575077
4128.965616951231	76951.85341115828
4128.966311690398	77357.54798742119
4128.967006428633	77476.88751911884
4128.967701156158	77718.5363420445
4128.968395894859	77826.76541417232
4128.969090634026	77988.63615316531
4128.969785372261	77937.12899880961
4128.970480111428	78158.17485165571
4128.971174850129	77525.95605363905
4128.971869589295	78037.55990871343
4128.972564327996	77457.44719417795
4128.973259066697	77470.90617374767
4128.973953805864	77925.41427812082
4128.974648532923	77958.16976267684
4128.975343271624	77506.3212112202
