time	SMEAR
4128.734269481152	69.38300462926263
4128.734964220319	77.79695342197984
4128.735658959486	73.61099573883928
4128.736353698652	70.87959426499187
4128.737048437353	78.11971057580668
4128.73774317652	74.02530821511354
4128.738437904511	68.93774038167572
4128.739132643212	68.97632525966839
4128.739827382378	68.60990183612793
4128.740522121079	75.04950511606603
4128.741216860712	67.5730226443148
4128.741911587771	67.46832190744792
4128.742606326938	67.43794222081539
4128.743301065639	68.03654990250973
4128.743995805271	67.55755885405028
4128.744690543972	67.61907900917706
4128.745385271497	67.58846635401633
4128.746080010664	68.01954880888357
4128.74677474983	69.01314937566697
4128.747469488997	69.82730425884635
4128.748164227698	67.9164260783305
4128.748858955223	68.80119179853212
4128.749553706031	101.06947582667999
4128.750248444732	135.88333656082028
4128.750943183899	74.15289019917795
4128.751637923066	68.91635828052091
4128.752332650591	90.4881219722841
4128.753027389292	89.52734766901571
4128.753722128458	68.1002515215998
4128.754416867625	68.73486063538513
4128.756501073483	68.53003351812177
4128.757195812184	69.48615713526311
4128.757890551351	70.88706618247811
4128.758585290052	104.52988813598293
4128.759280018043	115.65391757233229
4128.759974756744	72.76815405798212
4128.76066949591	74.78721675760768
4128.761364234611	84.10034815570165
4128.762058974244	86.13563443995545
4128.762753701303	75.9039190636023
4128.76344844047	73.76044154194595
4128.764143191278	70.00583305852065
4128.764837930445	70.26624804378903
4128.765532669146	70.69913667580846
4128.766227396671	67.94968647451091
4128.766922135837	67.41032935028221
4128.767616874538	67.35607691717982
4128.768311613705	68.28072690670146
4128.769006352872	75.04814211426671
4128.769701079931	75.55017704999351
4128.770395819098	70.76113212271225
4128.771090558264	75.43411140438137
4128.771785296965	77.70501791375196
4128.772480036598	68.72875552810697
4128.775258981157	67.40990762074735
4128.776648447383	67.3645891330006
4128.77734318655	67.650966261358
4128.7780379257165	67.54343722013256
4128.796101105399	87.5507077188602
4128.7967958441	77.20612262329881
4128.7974905716255	74.12240949618332
4128.7981853103265	69.31430814784443
4128.798880049493	68.16389832344794
4128.79957478866	70.11119777879753
4128.800269527361	68.24282084277328
4128.800964254886	67.54676226332879
4128.801658994518	67.34776226158975
4128.8023537327535	68.13246497897616
4128.803048472386	73.5196803285508
4128.803743210621	77.4875137857149
4128.804437938612	71.3076678822793
4128.805132677313	73.36399640172593
4128.80582741648	78.63059605473705
4128.806522155181	69.32507134666031
4128.807216894813	69.30432005724077
4128.8086063726805	72.88584421748858
4128.8093011113815	70.57448180003456
4128.809995850548	67.51496519608305
4128.810690589715	67.41030122110227
4128.811385316774	67.61610755130307
4128.812080055941	68.06366174114979
4128.812774794642	67.37625298961927
4128.8134695338085	67.86292563800015
4128.814164272975	67.61289926479121
4128.814859000035	68.3255302565411
4128.815553739201	69.87743432088608
4128.816248477902	68.62618916679946
4128.816943217069	68.03714815120327
4128.817637956236	71.87110393707414
4128.818332683761	130.93554098437863
4128.819027422462	100.69090042314176
4128.819722161628	69.00290915106262
4128.820416900795	71.42713429207808
4128.82111162832	103.49286100569583
4128.821806367021	71.58617719566939
4128.822501106188	68.11400731671078
4128.82319585653	69.86279816305736
4128.823890595697	73.0705322706483
4128.824585322756	68.5083443740416
4128.825280061923	69.03555710203608
4128.82597480109	69.94971476284346
4128.826669539791	78.40258011281806
4128.827364278957	123.31010616442236
4128.828059006017	89.73863354538177
4128.828753745183	72.43606901736831
4128.829448483884	77.72243777011049
4128.830143223517	87.82030637436546
4128.830837962218	80.50510673703155
4128.831532689743	74.63371241778287
4128.832227428909	71.88890636906976
4128.83292216761	69.33037561624556
4128.833616906777	71.57720045846293
4128.834311645478	69.00460101430356
4128.835006373003	67.663509765682
4128.835701111704	67.2994165475505
4128.836395850871	67.65962729140118
4128.83778534038	77.51424065147869
4128.838480067905	71.86372416450045
4128.839174806606	71.29666080499662
4128.839869545773	78.79961169797147
4128.842648490332	67.64516444148063
4128.843343228567	67.49075316935131
4128.8440379682	67.40576750326984
4128.844732706435	67.40142997380363
4128.845427434426	67.43878789822323
4128.846122172661	67.72429162239872
4128.864880078472	83.29429388458772
4128.865574805997	74.5722865719834
4128.866269544698	72.59126326513478
4128.866964283865	67.84911046114902
4128.8676590342075	69.1840557314379
4128.868353773374	69.48542993661698
4128.869048500434	67.71882122325039
4128.8697432396	67.37908690972478
4128.870437978301	67.55549655873207
4128.871132717468	69.19958409776548
4128.871827456169	77.6399327628977
4128.872522183694	73.88214011247231
4128.873216922395	70.91215191475197
4128.873911661096	78.17574836861183
4128.874606400263	74.51761243552912
4128.875301138964	68.88877132908166
4128.875995866954	68.98066048316564
