time	TF2
4128.734269481152	-12.0244140625
4128.734964220319	-12.05389404296875
4128.735658959486	-12.014556884765625
4128.736353698652	-12.0440673828125
4128.737048437353	-12.063720703125
4128.73774317652	-12.014556884765625
4128.738437904511	-12.102935791015625
4128.739132643212	-12.004730224609375
4128.739827382378	-12.0244140625
4128.740522121079	-12.014556884765625
4128.741216860712	-12.063720703125
4128.741911587771	-12.063720703125
4128.742606326938	-12.073516845703125
4128.743301065639	-12.0440673828125
4128.743995805271	-12.03424072265625
4128.744690543972	-12.0244140625
4128.745385271497	-12.03424072265625
4128.746080010664	-12.03424072265625
4128.74677474983	-12.063720703125
4128.747469488997	-12.0440673828125
4128.748164227698	-12.0931396484375
4128.748858955223	-12.0440673828125
4128.749553706031	-12.073516845703125
4128.750248444732	-12.0244140625
4128.750943183899	-12.063720703125
4128.751637923066	-12.102935791015625
4128.752332650591	-11.994842529296875
4128.753027389292	-12.0931396484375
4128.753722128458	-12.03424072265625
4128.754416867625	-12.102935791015625
4128.756501073483	-12.112701416015625
4128.757195812184	-12.12249755859375
4128.757890551351	-12.05389404296875
4128.758585290052	-11.9849853515625
4128.759280018043	-12.093109130859375
4128.759974756744	-12.073516845703125
4128.76066949591	-12.102935791015625
4128.761364234611	-12.102935791015625
4128.762058974244	-12.073516845703125
4128.762753701303	-12.13226318359375
4128.76344844047	-12.08331298828125
4128.764143191278	-12.05389404296875
4128.764837930445	-12.07354736328125
4128.765532669146	-12.05389404296875
4128.766227396671	-12.12249755859375
4128.766922135837	-12.063720703125
4128.767616874538	-12.0931396484375
4128.768311613705	-12.14202880859375
4128.769006352872	-12.05389404296875
4128.769701079931	-12.03424072265625
4128.770395819098	-12.063720703125
4128.771090558264	-12.112701416015625
4128.771785296965	-12.063720703125
4128.772480036598	-12.13226318359375
4128.775258981157	-12.08331298828125
4128.776648447383	-12.03424072265625
4128.77734318655	-12.0931396484375
4128.7780379257165	-12.0244140625
4128.796101105399	-11.994842529296875
4128.7967958441	-12.014556884765625
4128.7974905716255	-11.975128173828125
4128.7981853103265	-11.994842529296875
4128.798880049493	-12.004730224609375
4128.79957478866	-11.994842529296875
4128.800269527361	-12.073516845703125
4128.800964254886	-12.004730224609375
4128.801658994518	-12.093109130859375
4128.8023537327535	-11.93560791015625
4128.803048472386	-12.014556884765625
4128.803743210621	-12.063720703125
4128.804437938612	-12.0244140625
4128.805132677313	-12.063720703125
4128.80582741648	-12.0244140625
4128.806522155181	-12.08331298828125
4128.807216894813	-12.03424072265625
4128.8086063726805	-12.093109130859375
4128.8093011113815	-12.004730224609375
4128.809995850548	-12.08331298828125
4128.810690589715	-12.0440673828125
4128.811385316774	-12.112701416015625
4128.812080055941	-11.994842529296875
