time	CX
4128.734269481152	548.0504150390625
4128.734964220319	548.2142333984375
4128.735658959486	548.0405883789062
4128.736353698652	548.0538940429688
4128.737048437353	548.1973876953125
4128.73774317652	547.8872680664062
4128.738437904511	548.0338134765625
4128.739132643212	547.8001098632812
4128.739827382378	547.2821044921875
4128.740522121079	547.6370239257812
4128.741216860712	547.3192138671875
4128.741911587771	547.4691162109375
4128.742606326938	547.4315795898438
4128.743301065639	547.568603515625
4128.743995805271	547.977783203125
4128.744690543972	547.8529663085938
4128.745385271497	547.9742431640625
4128.746080010664	547.9266967773438
4128.74677474983	547.72216796875
4128.747469488997	547.195068359375
4128.748164227698	547.406982421875
4128.748858955223	547.6583862304688
4128.749553706031	547.3394775390625
4128.750248444732	547.4044799804688
4128.750943183899	547.8583374023438
4128.751637923066	548.1170654296875
4128.752332650591	548.1436157226562
4128.753027389292	547.6176147460938
4128.753722128458	547.3513793945312
4128.754416867625	548.0487060546875
4128.756501073483	547.5237426757812
4128.757195812184	547.6856689453125
4128.757890551351	547.8011474609375
4128.758585290052	548.1347045898438
4128.759280018043	548.0902709960938
4128.759974756744	547.7767944335938
4128.76066949591	547.315185546875
4128.761364234611	547.5250244140625
4128.762058974244	547.2817993164062
4128.762753701303	547.5753173828125
4128.76344844047	547.6050415039062
4128.764143191278	547.72119140625
4128.764837930445	547.5374755859375
4128.765532669146	548.0020141601562
4128.766227396671	547.4437255859375
4128.766922135837	547.6463012695312
4128.767616874538	547.6451416015625
4128.768311613705	547.788330078125
4128.769006352872	547.4769287109375
4128.769701079931	547.4223022460938
4128.770395819098	547.2365112304688
4128.771090558264	547.844970703125
4128.771785296965	547.6318359375
4128.772480036598	547.371826171875
4128.775258981157	547.5531005859375
4128.776648447383	547.1026611328125
4128.77734318655	547.0827026367188
4128.7780379257165	546.9732055664062
4128.796101105399	547.4427490234375
4128.7967958441	547.5369873046875
4128.7974905716255	547.2855224609375
4128.7981853103265	547.2959594726562
4128.798880049493	547.7698974609375
4128.79957478866	547.4823608398438
4128.800269527361	547.6370849609375
4128.800964254886	547.2513427734375
4128.801658994518	547.3670043945312
4128.8023537327535	547.6923828125
4128.803048472386	548.0354614257812
4128.803743210621	547.7447509765625
4128.804437938612	547.9601440429688
4128.805132677313	547.757080078125
4128.80582741648	547.7241821289062
4128.806522155181	547.5574951171875
4128.807216894813	547.7316284179688
4128.8086063726805	547.0993041992188
4128.8093011113815	547.278076171875
4128.809995850548	547.1642456054688
4128.810690589715	547.319580078125
4128.811385316774	547.4185180664062
4128.812080055941	547.580078125
4128.812774794642	547.704833984375
4128.8134695338085	547.8902587890625
4128.814164272975	547.892822265625
4128.814859000035	547.7312622070312
4128.815553739201	547.2554931640625
4128.816248477902	547.0169067382812
4128.816943217069	547.6181030273438
4128.817637956236	547.2765502929688
4128.818332683761	547.15625
4128.819027422462	547.4669799804688
4128.819722161628	548.0994873046875
4128.820416900795	548.0697021484375
4128.82111162832	547.6421508789062
4128.821806367021	547.31201171875
4128.822501106188	547.7178955078125
4128.82319585653	548.0020751953125
4128.823890595697	548.166259765625
4128.824585322756	548.0001831054688
4128.825280061923	547.2182006835938
4128.82597480109	547.851318359375
4128.826669539791	547.8462524414062
4128.827364278957	547.934814453125
4128.828059006017	547.9553833007812
4128.828753745183	547.5545043945312
4128.829448483884	547.501953125
4128.830143223517	547.5633544921875
4128.830837962218	547.365478515625
4128.831532689743	547.3760986328125
4128.832227428909	547.6802368164062
4128.83292216761	547.4192504882812
4128.833616906777	547.8197021484375
4128.834311645478	547.70458984375
4128.835006373003	547.5198364257812
4128.835701111704	547.7080078125
4128.836395850871	547.4828491210938
4128.83778534038	547.40771484375
4128.838480067905	547.2821044921875
4128.839174806606	547.5243530273438
4128.839869545773	547.54150390625
4128.842648490332	547.4701538085938
4128.843343228567	547.253173828125
4128.8440379682	547.4263305664062
4128.844732706435	547.0748901367188
4128.845427434426	547.0695190429688
4128.846122172661	547.1419067382812
4128.864880078472	547.4149780273438
4128.865574805997	547.4467163085938
4128.866269544698	546.8829345703125
4128.866964283865	547.7853393554688
4128.8676590342075	547.4157104492188
4128.868353773374	547.4939575195312
4128.869048500434	547.4417724609375
4128.8697432396	547.2313842773438
4128.870437978301	547.3966064453125
4128.871132717468	547.7119750976562
4128.871827456169	547.9978637695312
4128.872522183694	547.5804443359375
4128.873216922395	547.7612915039062
4128.873911661096	547.7377319335938
4128.874606400263	547.4551391601562
4128.875301138964	547.7456665039062
4128.875995866954	547.373291015625
4128.87669060519	547.0497436523438
4128.877385344822	547.2529907226562
4128.878080083523	547.0906982421875
4128.87877482269	547.2160034179688
4128.879469549749	547.1563720703125
4128.880164288916	547.3806762695312
4128.880859027617	547.8811645507812
4128.881553766783	547.542236328125
4128.882248517126	547.783935546875
4128.882943244185	547.699462890625
4128.883637983352	547.578125
4128.884332722053	546.968017578125
4128.88502746122	547.1368408203125
4128.885722188279	547.51025390625
4128.886416927446	547.1339111328125
4128.887111666147	547.187255859375
4128.887806405779	547.781494140625
4128.888501144014	547.8851928710938
4128.889195883181	547.9607543945312
4128.88989061024	547.537841796875
4128.890585349407	547.1261596679688
4128.891280088108	547.8187255859375
4128.891974827275	548.0238647460938
4128.8926695548	548.0899047851562
4128.893364293501	547.3497924804688
4128.894059032202	547.4793090820312
